osm_id,road_name,road_type,ref,maxspeed,road_health_score,road_condition,potholes_count,accident_count,accident_severity,complaints_count,complaint_type,traffic_density,vehicle_count,allocated_budget_usd,spent_budget_usd,maintenance_type,contractor_name,contractor_rating,weather_condition
22965641,Wangdi-Trongsa Highway,primary,PNH 1,0,49,Average,9,4,Low,12,Cracks,High,6684,459196,325841,Resurfacing,RoadCare,3.3,Sunny
22965811,Trongsa-Bumthang Highway,primary,PNH 1,0,65,Average,11,15,Medium,12,Broken Divider,Low,390,53075,255830,Resurfacing,UrbanTrack,3.8,Foggy
27278202,Chunzom - Paro Highway,tertiary,PNH 6,0,81,Good,12,5,Low,4,Broken Divider,High,5921,249098,172486,Divider Repair,UrbanTrack,4,Foggy
27278203,Chunzom - Paro Highway,tertiary,PNH 6,0,50,Average,8,3,Low,24,Broken Divider,High,3918,398173,123755,Resurfacing,Bhutan Infra,4.1,Foggy
76811944,Samdrup Jongkhar - Trashigang Highway,primary,PNH 3,0,61,Average,15,3,Low,22,Pothole,Medium,402,131178,107855,Divider Repair,UrbanTrack,3,Cloudy
76811949,Samdrup Jongkhar - Trashigang Highway,primary,PNH 3,0,36,Poor,15,7,High,14,Cracks,High,2036,494295,32140,Divider Repair,UrbanTrack,3.1,Sunny
76811955,Bumthang-Mongar Highway,secondary,PNH 1,40,39,Poor,2,13,High,6,Cracks,High,8203,101884,322203,Pothole Repair,SafeHighway,4.4,Sunny
76811968,Kurizampa,secondary,PNH 1,0,28,Poor,12,7,Medium,5,Cracks,High,8020,471173,316301,Resurfacing,SafeHighway,3.4,Cloudy
76811970,Samdrup Jongkhar - Trashigang Highway,primary,PNH 3,50,75,Good,19,6,Low,4,Broken Divider,Medium,5943,262917,173399,Resurfacing,Bhutan Infra,4.3,Sunny
76811971,Samdrup Jongkhar - Trashigang Highway,primary,PNH 3,0,20,Poor,17,4,Low,15,Cracks,Medium,9940,113879,360907,Pothole Repair,SafeHighway,4.5,Sunny
76811974,Chagzam bridge,primary,PNH 1,0,89,Good,0,9,High,3,Pothole,Medium,1315,224514,155986,Resurfacing,UrbanTrack,3.1,Rainy
76811977,Bumthang-Mongar Highway,secondary,PNH 1,40,47,Average,17,0,Medium,7,Pothole,Low,9391,434051,30313,Divider Repair,UrbanTrack,2.6,Sunny
76811985,Samdrup Jongkhar - Trashigang Highway,primary,PNH 3,0,77,Good,0,2,Medium,8,Cracks,Medium,5979,315918,54205,Divider Repair,RoadCare,3.9,Sunny
76811990,Samdrup Jongkhar - Trashigang Highway,primary,PNH 3,0,61,Average,19,8,Medium,21,Waterlogging,High,2553,353729,353165,Resurfacing,UrbanTrack,3.8,Sunny
76821968,Chunzom - Paro Highway,primary,PNH 6,0,67,Average,10,6,Medium,13,Cracks,Low,4602,402605,245731,Resurfacing,Bhutan Infra,2.7,Rainy
76821969,Thimphu to Phuentsholing Highway,primary,AH-48,0,86,Good,2,2,High,21,Broken Divider,Medium,7721,245628,92300,Divider Repair,SafeHighway,4.8,Cloudy
76821979,Chunzom - Paro Highway,primary,PNH 6,0,55,Average,0,14,High,22,Cracks,Low,5296,187945,321019,Pothole Repair,RoadCare,4.2,Rainy
76821980,Bazaar,trunk,NH317A,0,32,Poor,7,9,Medium,13,Broken Divider,Low,5391,54874,189469,Resurfacing,SafeHighway,3.2,Rainy
76821986,Chunzom - Paro Highway,primary,PNH 6,0,57,Average,10,4,High,5,Broken Divider,Medium,4575,346595,273374,Divider Repair,SafeHighway,4.8,Foggy
