osm_id,road_name,road_type,ref,maxspeed,road_health_score,road_condition,potholes_count,accident_count,accident_severity,complaints_count,complaint_type,traffic_density,vehicle_count,allocated_budget_usd,spent_budget_usd,maintenance_type,contractor_name,contractor_rating,weather_condition
4860427,New Tangalle Road,trunk,A2,60,67,Average,12,4,Low,14,Cracks,Medium,4526,309660,74488,Pothole Repair,UrbanTrack,3.6,Rainy
4860438,Henry Pedris Mawatha (Hirimbura Road),primary,B128,60,61,Average,12,12,Low,22,Pothole,Medium,9247,272106,171918,Divider Repair,UrbanTrack,3.4,Sunny
5131121,Sirimavo Bandaranaike Mawatha (Peradeniya Road),trunk,A1,60,75,Good,20,7,Medium,7,Broken Divider,Low,920,396319,34116,Divider Repair,Lanka Infra,4,Foggy
5888188,Wakwella Road,primary,B130,50,60,Average,17,5,Low,19,Waterlogging,Medium,3067,251088,261487,Resurfacing,SafeHighway,3,Cloudy
5888927,Old Matara Road,trunk,Old-A2,60,83,Good,19,3,Medium,17,Waterlogging,High,503,198436,208948,Pothole Repair,Lanka Infra,4.4,Rainy
6105008,Galle Road,trunk,A2,70,53,Average,15,3,Medium,22,Broken Divider,Medium,4089,286709,368191,Resurfacing,RoadCare,2.6,Foggy
6105649,Ambepussa - Kurunegala Road,trunk,AA006,60,31,Poor,5,12,Medium,17,Broken Divider,Medium,7925,301410,354993,Pothole Repair,UrbanTrack,4.9,Sunny
6141233,Sea Street,primary,AB34,30,84,Good,10,1,Low,21,Pothole,High,6600,164768,32653,Resurfacing,Lanka Infra,4.8,Cloudy
6170046,Galle Road,trunk,A2,70,70,Average,3,14,Low,12,Waterlogging,Medium,1101,494382,42906,Resurfacing,Lanka Infra,3.5,Foggy
6170900,Badulla Road,trunk,A5,60,34,Poor,8,3,High,5,Waterlogging,Low,9445,310399,225394,Pothole Repair,RoadCare,4.3,Foggy
6724124,Wakwella Road,primary,B130,50,47,Average,9,8,Medium,14,Broken Divider,High,157,257178,19917,Pothole Repair,Lanka Infra,3.4,Sunny
6724195,Galle Road,trunk,A2,70,73,Good,7,7,Low,12,Broken Divider,Medium,2359,217767,365019,Pothole Repair,SafeHighway,4,Rainy
6724201,Galle Road,trunk,A2,70,44,Average,9,6,High,21,Waterlogging,High,9795,483993,271315,Resurfacing,Lanka Infra,4.3,Cloudy
6758161,Olcott Mawatha,primary,B128,60,67,Average,0,2,Medium,19,Broken Divider,Medium,8214,225021,297842,Resurfacing,UrbanTrack,3.1,Sunny
8013932,Main Street,trunk,Old-A2,60,47,Average,13,4,Low,19,Cracks,Low,5070,183798,343033,Pothole Repair,RoadCare,4,Foggy
8013933,Main Street,trunk,Old-A2,60,63,Average,10,6,Low,22,Broken Divider,Medium,4617,163329,255568,Divider Repair,SafeHighway,2.8,Rainy
8076775,Main Street,trunk,Old-A2,60,61,Average,0,1,Low,16,Pothole,Low,9541,467580,182998,Pothole Repair,SafeHighway,3.1,Sunny
8076778,Sea Street,trunk,AB12/New A2,60,51,Average,19,15,Medium,19,Waterlogging,Low,2795,173604,192724,Divider Repair,SafeHighway,3.6,Rainy
8111663,Galle Face Centre Road,trunk,A2,60,87,Good,5,13,Medium,5,Cracks,Medium,5124,124100,179330,Divider Repair,UrbanTrack,4.2,Foggy
8581742,Bauddhaloka Mawatha,primary,AC2,60,45,Average,2,2,High,1,Waterlogging,Low,7915,204585,355419,Divider Repair,SafeHighway,4.1,Rainy
8625142,Racecourse Road,primary,B61,50,46,Average,9,2,Medium,10,Cracks,Low,2283,207800,71847,Pothole Repair,SafeHighway,3.7,Rainy
8625167,Arthur V. Dias Mawatha (Main Street),primary,AB27,50,90,Good,2,4,High,24,Broken Divider,Low,4796,209214,382683,Divider Repair,SafeHighway,3.5,Sunny
8625207,Hill Street (Dehiwela-Maharagama Road),primary,B94,50,55,Average,5,15,Medium,9,Pothole,Medium,204,401901,194983,Divider Repair,UrbanTrack,3.6,Rainy
8625233,Baladaksha Mawatha,primary,B37,30,46,Average,13,9,Medium,2,Waterlogging,Medium,6110,302890,235573,Divider Repair,Lanka Infra,5,Rainy
8625251,Matara Road,trunk,A2,60,63,Average,16,6,High,11,Cracks,High,1247,484490,160310,Pothole Repair,Lanka Infra,3.7,Cloudy
8659985,New Kelani Bridge Road,trunk,A1,60,88,Good,18,2,High,13,Waterlogging,Medium,8876,475250,52279,Resurfacing,Lanka Infra,4.2,Rainy
8855691,Waskaduwa-Bandaragama Road,primary,B458,70,68,Average,7,15,Medium,19,Pothole,High,7038,498951,192227,Resurfacing,RoadCare,2.7,Rainy
8873170,Galle Road,trunk,A2,70,44,Average,12,5,Medium,8,Waterlogging,High,6423,409022,310624,Resurfacing,UrbanTrack,4.2,Sunny
8873215,Gintota-Wakwella Road,primary,B138,50,34,Poor,12,3,Low,13,Broken Divider,Medium,1333,115810,231364,Resurfacing,SafeHighway,2.7,Foggy
8873216,Gintota-Wakwella Road,primary,B138,50,68,Average,5,0,High,11,Broken Divider,High,8594,121729,229322,Divider Repair,Lanka Infra,3.4,Foggy
9459878,Wakwella Road,primary,B130,50,36,Poor,3,1,High,11,Broken Divider,Medium,4681,371311,76756,Pothole Repair,SafeHighway,2.8,Rainy
9750333,Main Street,trunk,A2,60,76,Good,5,14,Low,24,Broken Divider,Low,9312,130299,90584,Resurfacing,SafeHighway,3.9,Foggy
9750337,Circular Road,primary,B557,50,29,Poor,2,13,Medium,22,Pothole,High,5015,159595,59647,Resurfacing,SafeHighway,3.1,Rainy
9750341,Dondra Light House Road,primary,B107,50,35,Poor,15,12,Medium,12,Pothole,Low,5614,167426,259885,Pothole Repair,Lanka Infra,2.6,Rainy
9750345,Dikwella-Wewurukannala Road,primary,B525,50,69,Average,16,1,Low,2,Cracks,Low,688,382482,92113,Pothole Repair,UrbanTrack,4,Rainy
9750348,Beliatte-Tangalle Road,primary,B141,72,68,Average,4,13,High,22,Pothole,Low,8728,329491,246262,Divider Repair,UrbanTrack,2.7,Foggy
9750392,Belliatte-Weeraketiya Road,primary,B627,60,56,Average,10,8,High,12,Waterlogging,Medium,2120,483097,50607,Pothole Repair,UrbanTrack,3.2,Foggy
9750435,New Tangalle Road,trunk,A2,60,22,Poor,5,4,Medium,21,Cracks,Medium,9614,244891,175725,Resurfacing,RoadCare,4.6,Foggy
9750457,Ella - Wellawaya Road,trunk,AA023,70,49,Average,15,12,Medium,23,Waterlogging,High,1888,171274,352172,Pothole Repair,Lanka Infra,2.8,Foggy
9751649,Dikwella-Beliatte Road,primary,B101,72,60,Average,20,0,Medium,17,Broken Divider,High,6073,280387,82903,Pothole Repair,RoadCare,4.7,Sunny
9760191,Nuwara Eliya-Badulla Road,trunk,A5,60,26,Poor,15,13,High,1,Broken Divider,High,8482,112882,145826,Divider Repair,RoadCare,4,Foggy
9776132,Queen Elizabeth Drive,trunk,A5,50,60,Average,15,10,Low,4,Pothole,Low,7664,407788,355640,Divider Repair,Lanka Infra,4.9,Rainy
9783017,Badulla - Bandarawela Road,trunk,AA016,70,75,Good,15,8,Medium,25,Waterlogging,Medium,252,144462,288074,Pothole Repair,SafeHighway,4.6,Rainy
9783038,Diyatalawa-Mirahawatta Road,secondary,B104,50,40,Poor,14,4,Low,2,Waterlogging,Medium,2403,187913,90607,Resurfacing,UrbanTrack,4.3,Cloudy
10358885,Gintota-Wakwella Road,primary,B138,50,88,Good,11,15,High,3,Pothole,Medium,8185,146593,79752,Pothole Repair,RoadCare,3.6,Sunny
10359316,Old Kandy Road (Old Bazaar Street),primary,B331,50,55,Average,11,14,Medium,7,Pothole,High,9559,236439,180953,Pothole Repair,UrbanTrack,4,Foggy
